Track,Artist,Spotify Streams,Spotify Popularity,Spotify Playlist Count,TikTok Posts,TikTok Likes,TikTok Views,Track Score,All Time Rank
MILLION DOLLAR BABY,Tommy Richman,390470936,92.0,30716,5767700,651565900,5332281936,725.4,1
Not Like Us,Kendrick Lamar,323703884,92.0,28113,674700,35223547,208339025,545.9,2
i like the way you kiss me,Artemas,601309283,92.0,54331,3025400,275154237,3369120610,538.4,3
Flowers,Miley Cyrus,2031280633,85.0,269802,7189811,1078757968,14603725994,444.9,4
Lovin On Me,Jack Harlow,670665438,83.0,105892,4202367,214943489,2938686633,410.1,6
Gata Only,FloyyMenor,675079153,92.0,40094,3500000,338546668,3804584163,375.8,8
BAND4BAND (feat. Lil Baby),Central Cee,90676573,86.0,10400,325800,121574500,974656200,330.6,10
LUNCH,Billie Eilish,221636195,92.0,13800,195300,45889000,360017000,316.3,13
bathroom floor,Kids With Buns,297185,12.0,277,3,1088,22234,301.6,15
LALA,Myke Towers,925655569,79.0,103605,11054500,521725116,7499234052,299.9,16
Fortnight (feat. Post Malone),Taylor Swift,395433400,89.0,12784,139300,25348800,207317000,297.6,17
greedy,Tate McRae,1258569694,87.0,105218,2294429,419319161,5456156211,293.7,18
BLUE,Billie Eilish,91272461,86.0,6499,941900,119740900,1225345800,292.6,19
As It Was,Harry Styles,3301814535,87.0,407119,2755903,1633970617,15405881843,292.0,20
Paint The Town Red,Doja Cat,1065399331,78.0,170890,3091732,652428798,7095564106,290.5,21
Espresso,Sabrina Carpenter,547882871,95.0,24425,209200,169144295,1379499000,281.5,22
TEXAS HOLD 'EM,Beyoncï¿,426700979,86.0,34044,1470500,485200392,6518604175,278.9,24
Beat Automotivo Tan Tan Tan Viral,WZ Beat,7382759,35.0,3504,37621885,1636811753,22918660728,268.1,26
STAY (with Justin Bieber),The Kid LAROI,3107100349,78.0,451732,7485966,2246991336,23712377029,266.3,27
Baby Shark,Pinkfong,720822868,71.0,60945,7743800,281762094,6577639193,265.7,28
SHEESH,BABYMONSTER,124893397,82.0,3479,212500,48327004,390081328,237.5,32
Water,Tyla,670376179,83.0,98450,2114363,369150956,3932956380,234.6,33
Strangers,Kenya Grace,750154960,79.0,139141,1031447,196985853,2231749390,233.5,34
Lose Control,Teddy Swims,775135157,87.0,88239,396560,49060857,597513595,224.1,38
fukumean,Gunna,759998727,80.0,188142,1237229,311252391,3281790327,221.1,39
Dance Monkey,Tones And I,3071214106,71.0,375201,10342366,393814740,5861939942,214.5,40
BIRDS OF A FEATHER,Billie Eilish,214237645,92.0,10871,251200,71078500,443104700,212.8,41
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,170970614,41.0,27827,14348249,948225544,12196985599,211.2,42
I'm Good (Blue),David Guetta,1658229422,83.0,262248,728093,54258768,1051836430,209.6,43
Daylight,David Kushner,1126820069,82.0,177800,2557115,285329503,2578518632,207.0,44
My Love Mine All Mine,Mitski,997702304,86.0,105927,3648759,857220853,5469808282,206.2,45
Houdini,Dua Lipa,493627071,80.0,45300,93500,35970610,386610043,205.1,47
If We Ever Broke Up,Mae Stephens,304929492,69.0,43923,13872768,390207653,5684815935,203.6,49
Despacito,Luis Fonsi,1747093405,74.0,178114,799338,78304409,1143297071,203.5,50
Panda Basi,Mvua,104271,25.0,249,190,36666,393580,200.3,52
Calm Down (with Selena Gomez),Rema,1391688322,77.0,163876,599,48035,2857920,198.0,53
Shape of You,Ed Sheeran,3909458734,80.0,316378,2270315,194420058,2320856331,195.1,54
Blinding Lights,The Weeknd,4281468720,83.0,590392,2882064,337322563,3501177394,194.0,56
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,1337619917,80.0,228295,423714,148085419,1268862678,192.3,57
